debate,form,year,month,day,description,wordn,notes,pagenum,election,type
2016PStLouisMO,0,2016,10,9,"Presidential Debate at Washington University in St. Louis, MO",1,,0,2016,P
2016PDaytonOH,0,2016,9,26,"Presidential Debate at Wright State University in Dayton, Ohio",1,,0,2016,P
2016PLasVegasNV,0,2015,9,19,Presidential Debate at the University of Nevada in Las Vegas,1,,0,2016,P
2016VFarmvilleVA,0,2016,10,4,"Vice Presidential Debate at Longwood University in Farmville, Virginia",1,,0,2016,V
2016DMiamiFL,0,2016,3,9,"Democratic Candidates Debate in Miami, FL",1,,0,2016,D
2016DTBDWS,0,2016,2,11,"Democratic Candidates Debate in TBD, Wisconsin",1,,0,2016,D
2016DCharlestonSC,1,2016,1,17,"Democratic Candidates Debate in Charleston, South Carolina",1,,111409,2016,D
2016DManchesterNH,1,2015,12,19,"Democratic Candidates Debate in Manchester, New Hampshire",1,,111178,2016,D
2016DDesMoinesIA,1,2015,11,14,"Democratic Candidates Debate in Des Moines, IA",1,,110910,2016,D
2016DLasVegasNV,1,2015,10,13,"Democratic Candidates Debate in Las Vegas, Nevada",1,,110903,2016,D
2016RTBDFL,0,2016,3,10,"Republican Candidates Debate in TBD, FL",1,,0,2016,R
2016RHoustonTX,0,2016,2,26,"Republican Candidates Debate in Houston, Texas",1,,0,2016,R
2016RGreenvilleSC,0,2016,2,13,"Republican Candidates Debate in Greenville, South Carolina",1,,0,2016,R
2016RManchesterNH,0,2016,2,6,"Republican Candidates Debate in Manchester, New Hampshire",1,,0,2016,R
2016RDesMoinesIA,0,2016,1,28,"Republican Candidates Debate in Des Moines, IA",1,,0,2016,R
2016RNorthCharlestonSC,1,2016,1,14,"Republican Candidates Debate in North Charleston, South Carolina",1,,111395,2016,R
2016RUndercardNorthCharlestonSC,1,2016,1,14,"Republican Candidates Debate in North Charleston, South Carolina",1,,111394,2016,R
2016RLasVegasNV,1,2015,12,15,"Republican Candidates Debate in Las Vegas, Nevada",1,,111177,2016,R
2016RUndercardLasVegasNV,1,2015,12,15,"Republican Candidates Undercard Debate in Las Vegas, Nevada",1,,111176,2016,R
2016RMilwaukeeWI,1,2015,11,10,"Republican Candidates Debate in Milwaukee, Wisconsin",1,,110908,2016,R
2016RUndercardMilwaukeeWI,1,2015,11,10,"Republican Candidates Undercard Debate in Milwaukee, Wisconsin",1,,110909,2016,R
2016RBoulderCO,1,2015,10,28,"Republican Candidates Debate in Boulder, Colorado",1,,110906,2016,R
2016RUndercardBoulderCO,1,2015,10,28,"Republican Candidates Undercard Debate in Boulder, Colorado",1,,110907,2016,R
2016RSimiValleyCA,1,2015,9,16,"Republican Candidates Debate in Simi Valley, CA",1,,110756,2016,R
2016RUndercardSimiValleyCA,1,2015,9,16,"Republican Candidates Undercard Debate in Simi Valley, CA",1,,110758,2016,R
2016RClevelandOH,1,2015,8,6,"Republican Candidates Debate in Cleveland, Ohio",1,,110489,2016,R
2016RUndercardClevelandOH,1,2015,8,6,"Republican Candidates Undercard Debate in Cleveland, Ohio",1,,110757,2016,R
2016RTBD,0,,,,Republican Candidates Debate in TBD,1,,0,2016,R
2012PBocaRatonFL,6,2012,10,22,"Presidential Debate at Lynn University in Boca Raton, FL",1,,october-22-2012-the-third-obama-romney-presidential-debate,2012,P
2012PHempsteadNY,6,2012,10,16,"Presidential Debate at Hofstra University in Hempstead, New York",1,,october-16-2012-the-second-obama-romney-presidential-debate,2012,P
2012PDenverCO,6,2012,10,3,Presidential Debate at the University of Denver,1,,october-3-2012-debate-transcript,2012,P
2012PColumbiaSC,1,2011,9,5,"Palmetto Freedom Forum in Columbia, South Carolina",3,,96660,2012,P
2012VDanvilleKY,6,2012,10,11,"Vice Presidential Debate at Centre College in Danville, KY",4,,october-11-2012-the-biden-romney-vice-presidential-debate,2012,V
2012RMesaAZ,1,2012,2,22,"Republican Candidates Debate in Mesa, AZ",3,,99556,2012,R
2012RJacksonvilleFL,1,2012,1,26,"Republican Candidates Debate in Jacksonville, FL",3,,99075,2012,R
2012RTampaFL2,1,2012,1,23,"Republican Candidates Debate in Tampa, FL",3,,99001,2012,R
2012RCharlestonSC,1,2012,1,19,"Republican Candidates Debate in Charleston, South Carolina",3,,98936,2012,R
2012RMyrtleBeachSC,1,2012,1,16,"Republican Candidates Debate in Myrtle Beach, South Carolina",3,,98929,2012,R
2012RConcordNH,1,2012,1,8,"Republican Candidates Debate in Concord, New Hampshire",3,,98814,2012,R
2012RManchesterNH2,1,2012,1,7,"Republican Candidates Debate in Manchester, New Hampshire",3,,98813,2012,R
2012RSiouxCityIA,1,2011,12,15,"Republican Candidates Debate in Sioux City, IA",3,,97978,2012,R
2012RDesMoinesIA,1,2011,12,10,"Republican Candidates Debate in Des Moines, IA",3,,97703,2012,R
2012RWashingtonDC,1,2011,11,22,"Republican Candidates Debate in Washington, DC",3,,97332,2012,R
2012RSpartanburgSC,1,2011,11,12,"Republican Candidates Debate in Spartanburg, South Carolina",3,,97038,2012,R
2012RRochesterMI,1,2011,11,9,"Republican Candidates Debate in Rochester, MI",3,,97022,2012,R
2012RLasVegasNV,1,2011,10,18,"Republican Candidates Debate in Las Vegas, Nevada",3,,96914,2012,R
2012RHanoverNH,1,2011,10,11,"Republican Candidates Debate in Hanover, New Hampshire",3,,96894,2012,R
2012ROrlandoFL,1,2011,9,22,"Republican Candidates Debate in Orlando, FL",3,,96795,2012,R
2012RTampaFL1,1,2011,9,12,"Republican Candidates Debate in Tampa, FL",3,,96683,2012,R
2012RSimiValleyCA,1,2011,9,7,"Republican Candidates Debate in Simi Valley, CA",3,,96659,2012,R
2012RAmesIA,1,2011,8,11,"Republican Candidates Debate in Ames, IA",3,,90711,2012,R
2012RManchesterNH1,2,2011,6,13,"Republican Candidates Debate in Manchester, New Hampshire",3,,90513,2012,R
